countryiso3code,country_name,year,current_gdp_USd,co2_emissions
AUS,Australia,2019,55194.7585097428,16.1007065925773
AUT,Austria,2019,49885.9947355204,7.74519365039325
BEL,Belgium,2019,46716.6227467964,8.73127988733552
CAN,Canada,2019,46352.8693445211,16.190860373335
CHE,Switzerland,2019,84121.9310304414,4.47745146514166
CHL,Chile,2019,14495.716721687,4.96139546396702
COL,Colombia,2019,6472.54544924705,1.72438739011403
CRI,Costa Rica,2019,12884.6859951989,1.63874650393745
CZE,Czechia,2019,24062.7190013343,9.72456561033821
DEU,Germany,2019,47656.199739747,8.38218043063623
DNK,Denmark,2019,59404.2663247723,5.17323991963432
ESP,Spain,2019,29786.5245689007,5.3981216422823
EST,Estonia,2019,24021.2501413306,11.6534202327534
FIN,Finland,2019,48358.1807773701,7.99426833424913
FRA,France,2019,40408.2848574751,4.79214044818249
GBR,United Kingdom,2019,43158.7411267323,5.38807912233045
GRC,Greece,2019,19335.3602002969,5.7354129269356
HUN,Hungary,2019,17012.8598553199,5.31240175169761
IRL,Ireland,2019,81827.6688873996,7.30821291296457
ISL,Iceland,2019,69296.3144361601,8.81066554249882
ISR,Israel,2019,44250.6313628073,7.21388336646786
ITA,Italy,2019,33812.788724868,5.56784056329278
JPN,Japan,2019,40415.9567649547,8.87456666113888
KOR,"Korea, Rep.",2019,33826.9443301597,12.6531894575046
LTU,Lithuania,2019,19608.7943945553,5.08575146500164
LUX,Luxembourg,2019,112696.649059674,15.63174898105
LVA,Latvia,2019,17294.9751600969,4.13194121501373
MEX,Mexico,2019,10369.5553585271,3.92542377851696
NLD,Netherlands,2019,53554.9007491475,9.10784361996519
NOR,Norway,2019,76430.5889473338,8.47933467666537
NZL,New Zealand,2019,42855.831861632,7.49357181659055
POL,Poland,2019,15874.5220531254,8.21985501300853
PRT,Portugal,2019,23343.3628970034,4.51358282400518
SVK,Slovak Republic,2019,19406.0589683582,6.3818228588265
SVN,Slovenia,2019,25814.1687167572,7.0993135844205
SWE,Sweden,2019,51648.9892820514,3.8423518032643
TUR,Turkiye,2019,9395.23378001368,5.01913672458907
USA,United States,2019,64746.4506778863,15.0439662080505
