lad_code,lad_name,welsh_speakers_pct
W06000001,Isle of Anglesey,55.76871478400859
W06000002,Gwynedd,64.35301425109573
W06000003,Conwy,25.9380170833147
W06000004,Denbighshire,22.50757559476478
W06000005,Flintshire,11.575297883928215
W06000006,Wrexham,12.169966052561316
W06000008,Ceredigion,45.31189655419033
W06000009,Pembrokeshire,17.15887726070246
W06000010,Carmarthenshire,39.86339680055166
W06000011,Swansea,11.20622366735809
W06000012,Neath Port Talbot,13.491902834008096
W06000013,Bridgend,9.22686030546237
W06000014,Vale of Glamorgan,11.50591027622929
W06000015,Cardiff,12.173157954674867
W06000016,Rhondda Cynon Taf,12.398509886331073
W06000018,Caerphilly,10.450122153415316
W06000019,Blaenau Gwent,6.227236249151182
W06000020,Torfaen,8.241217274558068
W06000021,Monmouthshire,8.658352354802783
W06000022,Newport,7.534589314842374
W06000023,Powys,16.441625225169744
W06000024,Merthyr Tydfil,8.917253366574784
