country_name,cluster_id,dist_to_centroid
United States,2,0.0
Poland,1,0.8205609524700848
Canada,0,0.9495449952793652
Slovak Republic,1,0.971644935576985
Austria,0,1.0145609645056237
United Kingdom,0,1.0810686258808335
Denmark,0,1.1561247817603806
Finland,0,1.1670703725338718
Netherlands,0,1.3334579144229224
Belgium,0,1.3418519138426421
Portugal,0,1.3685680379173322
France,0,1.4881643948489307
Sweden,0,1.5423900358278693
Australia,0,1.5524817205517465
Norway,0,1.577864439558854
Czechia,1,1.5919691676869918
Lithuania,1,1.6177182799150769
Estonia,1,1.620579442369161
Spain,0,1.6728517375704852
Slovenia,0,1.6737495988502327
Hungary,1,1.7112705256649487
Costa Rica,1,1.7138264083712462
Chile,1,1.7706170576329268
Germany,0,1.8829097522608151
Israel,0,1.9011887166933386
New Zealand,0,1.9403066792324244
Luxembourg,0,2.0098721828805335
Colombia,1,2.0609206631961423
Latvia,1,2.3064336729996646
Turkiye,1,2.358544426538742
"Korea, Rep.",1,2.4295943292558944
Italy,0,2.4610688905674953
Mexico,1,2.6555836765801635
Switzerland,1,2.7944602778611043
Greece,0,2.885202451318355
Japan,0,2.9128732471179393
Iceland,0,3.056945211828722
Ireland,1,3.1284869787978544
