iso3,country_name,cluster_id
AUS,Australia,0
AUT,Austria,0
BEL,Belgium,0
CAN,Canada,0
DEU,Germany,0
DNK,Denmark,0
ESP,Spain,0
FIN,Finland,0
FRA,France,0
GBR,United Kingdom,0
GRC,Greece,0
ISL,Iceland,0
ISR,Israel,0
ITA,Italy,0
JPN,Japan,0
LUX,Luxembourg,0
NLD,Netherlands,0
NOR,Norway,0
NZL,New Zealand,0
PRT,Portugal,0
SVN,Slovenia,0
SWE,Sweden,0
CHE,Switzerland,1
CHL,Chile,1
COL,Colombia,1
CRI,Costa Rica,1
CZE,Czechia,1
EST,Estonia,1
HUN,Hungary,1
IRL,Ireland,1
KOR,"Korea, Rep.",1
LTU,Lithuania,1
LVA,Latvia,1
MEX,Mexico,1
POL,Poland,1
SVK,Slovak Republic,1
TUR,Turkiye,1
USA,United States,2
