iso3,country_name,emp_ratio
AUS,Australia,61.763
AUT,Austria,57.4144
BEL,Belgium,49.776599999999995
CAN,Canada,61.535799999999995
CHE,Switzerland,65.2284
CHL,Chile,58.2548
COL,Colombia,59.724599999999995
CRI,Costa Rica,56.3058
CZE,Czechia,58.0182
DEU,Germany,58.381600000000006
DNK,Denmark,58.3732
ESP,Spain,47.791199999999996
EST,Estonia,59.225
FIN,Finland,54.08
FRA,France,50.0756
GBR,United Kingdom,59.6198
GRC,Greece,40.174
HUN,Hungary,54.963
IRL,Ireland,57.62820000000001
ISL,Iceland,73.9842
ISR,Israel,62.58239999999999
ITA,Italy,43.8392
JPN,Japan,58.962
KOR,"Korea, Rep.",60.461
LTU,Lithuania,56.318200000000004
LUX,Luxembourg,55.8882
LVA,Latvia,55.6296
MEX,Mexico,58.327
NLD,Netherlands,63.0308
NOR,Norway,62.523199999999996
NZL,New Zealand,66.5088
POL,Poland,54.2376
PRT,Portugal,53.35940000000001
SVK,Slovak Republic,54.78680000000001
SVN,Slovenia,54.2312
SWE,Sweden,59.9034
TUR,Turkiye,46.494600000000005
USA,United States,59.7778
