iso3,country_name,gdp_pc_ppp
AUS,Australia,49144.092150401884
AUT,Austria,54564.34256141759
BEL,Belgium,50786.81201789122
CAN,Canada,47987.811693118085
CHE,Switzerland,69049.57914866458
CHL,Chile,24185.2911210973
COL,Colombia,14636.101066150342
CRI,Costa Rica,20412.77484107884
CZE,Czechia,39429.09126928684
DEU,Germany,53956.47337169964
DNK,Denmark,54766.29434735158
ESP,Spain,39546.7903940521
EST,Estonia,34776.47662704368
FIN,Finland,47118.2528602212
FRA,France,45155.403551081414
GBR,United Kingdom,46000.4178324628
GRC,Greece,28904.10363990264
HUN,Hungary,30547.481260319142
IRL,Ireland,80678.5140913361
ISL,Iceland,55210.947936822835
ISR,Israel,39008.83443060488
ITA,Italy,42013.594228785645
JPN,Japan,41553.57308402958
KOR,"Korea, Rep.",43330.07770745622
LTU,Lithuania,34054.79902380224
LUX,Luxembourg,114849.9501476376
LVA,Latvia,27920.55108065396
MEX,Mexico,20310.87850827868
NLD,Netherlands,56266.9420797203
NOR,Norway,65163.4777403163
NZL,New Zealand,41523.23965555208
POL,Poland,30750.55752351752
PRT,Portugal,33387.68497594982
SVK,Slovak Republic,31153.0569192771
SVN,Slovenia,36418.66003064046
SWE,Sweden,52143.585759460264
TUR,Turkiye,27727.61593579596
USA,United States,60595.48795976278
