iso3,country_name,manuf_va_gdp
AUS,Australia,5.7534393447588155
AUT,Austria,17.35545220304882
BEL,Belgium,12.403827916246941
CAN,Canada,9.75074255039177
CHE,Switzerland,17.506436114616783
CHL,Chile,9.567788797283415
COL,Colombia,11.63735533414404
CRI,Costa Rica,11.78340474425368
CZE,Czechia,23.02204283618122
DEU,Germany,19.95171633881524
DNK,Denmark,12.96920146388726
ESP,Spain,10.913292393298459
EST,Estonia,13.34005601906926
FIN,Finland,14.893054426826259
FRA,France,10.058470092531389
GBR,United Kingdom,9.111104357001931
GRC,Greece,8.088169997468473
HUN,Hungary,18.91952658373952
IRL,Ireland,32.87754278735726
ISL,Iceland,9.234820775902028
ISR,Israel,11.918837449051
ITA,Italy,14.69886662677674
JPN,Japan,20.40646435091308
KOR,"Korea, Rep.",27.50084524005632
LTU,Lithuania,16.655420966924982
LUX,Luxembourg,5.2105097235405315
LVA,Latvia,10.84474339864566
MEX,Mexico,19.986227915579043
NLD,Netherlands,10.40919988322694
NOR,Norway,6.497799297340444
NZL,New Zealand,10.23069726433766
POL,Poland,17.195400189319678
PRT,Portugal,12.237138709797922
SVK,Slovak Republic,18.10503008815438
SVN,Slovenia,20.36723379294608
SWE,Sweden,13.446437726351041
TUR,Turkiye,17.670103538134878
USA,United States,11.310183705209159
