iso3,country_name,year,life_exp
AUS,Australia,2015,82.4
AUS,Australia,2016,82.4487804878049
AUS,Australia,2017,82.5
AUS,Australia,2018,82.7487804878049
AUS,Australia,2019,82.9
AUT,Austria,2015,81.190243902439
AUT,Austria,2016,81.6414634146342
AUT,Austria,2017,81.6439024390244
AUT,Austria,2018,81.6926829268293
AUT,Austria,2019,81.8951219512195
BEL,Belgium,2015,80.9926829268293
BEL,Belgium,2016,81.4390243902439
BEL,Belgium,2017,81.4926829268293
BEL,Belgium,2018,81.5951219512195
BEL,Belgium,2019,81.9951219512195
CAN,Canada,2015,81.8258536585366
CAN,Canada,2016,81.94
CAN,Canada,2017,81.8129268292683
CAN,Canada,2018,81.8087804878049
CAN,Canada,2019,82.1636585365854
CHE,Switzerland,2015,82.8975609756098
CHE,Switzerland,2016,83.6024390243903
CHE,Switzerland,2017,83.5512195121951
CHE,Switzerland,2018,83.7536585365854
CHE,Switzerland,2019,83.9048780487805
CHL,Chile,2015,80.008
CHL,Chile,2016,80.295
CHL,Chile,2017,80.61
CHL,Chile,2018,80.559
CHL,Chile,2019,80.324
COL,Colombia,2015,76.067
COL,Colombia,2016,76.228
COL,Colombia,2017,76.418
COL,Colombia,2018,76.579
COL,Colombia,2019,76.793
CRI,Costa Rica,2015,80.407
CRI,Costa Rica,2016,79.988
CRI,Costa Rica,2017,79.994
CRI,Costa Rica,2018,80.09
CRI,Costa Rica,2019,80.296
CZE,Czechia,2015,78.5780487804878
CZE,Czechia,2016,79.0268292682927
CZE,Czechia,2017,78.9780487804878
CZE,Czechia,2018,79.0292682926829
CZE,Czechia,2019,79.2292682926829
DEU,Germany,2015,80.6414634146341
DEU,Germany,2016,80.990243902439
DEU,Germany,2017,80.9926829268293
DEU,Germany,2018,80.8926829268293
DEU,Germany,2019,81.2926829268293
DNK,Denmark,2015,80.7024390243902
DNK,Denmark,2016,80.8536585365854
DNK,Denmark,2017,81.1024390243903
DNK,Denmark,2018,80.9536585365854
DNK,Denmark,2019,81.4512195121951
ESP,Spain,2015,82.8317073170732
ESP,Spain,2016,83.3292682926829
ESP,Spain,2017,83.2829268292683
ESP,Spain,2018,83.4317073170732
ESP,Spain,2019,83.8317073170732
EST,Estonia,2015,77.590243902439
EST,Estonia,2016,77.6414634146342
EST,Estonia,2017,78.0926829268293
EST,Estonia,2018,78.2439024390244
EST,Estonia,2019,78.6463414634147
FIN,Finland,2015,81.4804878048781
FIN,Finland,2016,81.4292682926829
FIN,Finland,2017,81.6317073170732
FIN,Finland,2018,81.7341463414634
FIN,Finland,2019,81.9829268292683
FRA,France,2015,82.3219512195122
FRA,France,2016,82.5731707317073
FRA,France,2017,82.5756097560976
FRA,France,2018,82.6756097560976
FRA,France,2019,82.8268292682927
GBR,United Kingdom,2015,80.9560975609756
GBR,United Kingdom,2016,81.1560975609756
GBR,United Kingdom,2017,81.2560975609756
GBR,United Kingdom,2018,81.2560975609756
GBR,United Kingdom,2019,81.3691219512195
GRC,Greece,2015,81.0365853658537
GRC,Greece,2016,81.3878048780488
GRC,Greece,2017,81.2878048780488
GRC,Greece,2018,81.7878048780488
GRC,Greece,2019,81.6390243902439
HUN,Hungary,2015,75.5682926829269
HUN,Hungary,2016,76.0634146341464
HUN,Hungary,2017,75.8170731707317
HUN,Hungary,2018,76.0658536585366
HUN,Hungary,2019,76.3195121951219
IRL,Ireland,2015,81.4536585365854
IRL,Ireland,2016,81.6536585365854
IRL,Ireland,2017,82.1560975609756
IRL,Ireland,2018,82.2048780487805
IRL,Ireland,2019,82.7024390243903
ISL,Iceland,2015,82.4682926829268
ISL,Iceland,2016,82.2048780487805
ISL,Iceland,2017,82.6609756097561
ISL,Iceland,2018,82.8609756097561
ISL,Iceland,2019,83.1634146341463
ISR,Israel,2015,82.0512195121951
ISR,Israel,2016,82.4073170731707
ISR,Israel,2017,82.5512195121951
ISR,Israel,2018,82.8024390243903
ISR,Israel,2019,82.8048780487805
ITA,Italy,2015,82.5439024390244
ITA,Italy,2016,83.2439024390244
ITA,Italy,2017,82.9463414634147
ITA,Italy,2018,83.3463414634146
ITA,Italy,2019,83.4975609756098
JPN,Japan,2015,83.7939024390244
JPN,Japan,2016,83.9848780487805
JPN,Japan,2017,84.099756097561
JPN,Japan,2018,84.2109756097561
JPN,Japan,2019,84.3563414634146
KOR,"Korea, Rep.",2015,82.0243902439024
KOR,"Korea, Rep.",2016,82.2756097560976
KOR,"Korea, Rep.",2017,82.6268292682927
KOR,"Korea, Rep.",2018,82.6268292682927
KOR,"Korea, Rep.",2019,83.2268292682927
LTU,Lithuania,2015,74.3219512195122
LTU,Lithuania,2016,74.6707317073171
LTU,Lithuania,2017,75.4804878048781
LTU,Lithuania,2018,75.6804878048781
LTU,Lithuania,2019,76.2829268292683
LUX,Luxembourg,2015,82.2926829268293
LUX,Luxembourg,2016,82.6853658536585
LUX,Luxembourg,2017,82.0951219512195
LUX,Luxembourg,2018,82.2951219512195
LUX,Luxembourg,2019,82.6390243902439
LVA,Latvia,2015,74.4804878048781
LVA,Latvia,2016,74.580487804878
LVA,Latvia,2017,74.6292682926829
LVA,Latvia,2018,74.7829268292683
LVA,Latvia,2019,75.3878048780488
MEX,Mexico,2015,74.431
MEX,Mexico,2016,74.376
MEX,Mexico,2017,74.261
MEX,Mexico,2018,74.301
MEX,Mexico,2019,74.53
NLD,Netherlands,2015,81.509756097561
NLD,Netherlands,2016,81.5609756097561
NLD,Netherlands,2017,81.7609756097561
NLD,Netherlands,2018,81.8121951219512
NLD,Netherlands,2019,82.1121951219512
NOR,Norway,2015,82.3048780487805
NOR,Norway,2016,82.4073170731707
NOR,Norway,2017,82.609756097561
NOR,Norway,2018,82.7585365853659
NOR,Norway,2019,82.9585365853659
NZL,New Zealand,2015,81.6124390243903
NZL,New Zealand,2016,81.6585365853659
NZL,New Zealand,2017,81.8585365853659
NZL,New Zealand,2018,81.7073170731707
NZL,New Zealand,2019,82.0560975609756
POL,Poland,2015,77.4512195121951
POL,Poland,2016,77.8512195121951
POL,Poland,2017,77.7536585365854
POL,Poland,2018,77.6024390243903
POL,Poland,2019,77.9048780487805
PRT,Portugal,2015,81.1243902439025
PRT,Portugal,2016,81.1243902439025
PRT,Portugal,2017,81.4243902439025
PRT,Portugal,2018,81.3243902439024
PRT,Portugal,2019,81.6756097560976
SVK,Slovak Republic,2015,76.5634146341463
SVK,Slovak Republic,2016,77.1658536585366
SVK,Slovak Republic,2017,77.1658536585366
SVK,Slovak Republic,2018,77.2658536585366
SVK,Slovak Republic,2019,77.6658536585366
SVN,Slovenia,2015,80.7756097560976
SVN,Slovenia,2016,81.1756097560976
SVN,Slovenia,2017,81.0292682926829
SVN,Slovenia,2018,81.3780487804878
SVN,Slovenia,2019,81.5292682926829
SWE,Sweden,2015,82.2048780487805
SWE,Sweden,2016,82.3073170731707
SWE,Sweden,2017,82.409756097561
SWE,Sweden,2018,82.5585365853659
SWE,Sweden,2019,83.109756097561
TUR,Turkiye,2015,76.539
TUR,Turkiye,2016,76.595
TUR,Turkiye,2017,77.037
TUR,Turkiye,2018,77.454
TUR,Turkiye,2019,77.737
USA,United States,2015,78.690243902439
USA,United States,2016,78.5390243902439
USA,United States,2017,78.5390243902439
USA,United States,2018,78.6390243902439
USA,United States,2019,78.7878048780488
