iso3,country_name,year,manuf_va_gdp
AUS,Australia,2015,6.16187153809786
AUS,Australia,2016,5.93628731808457
AUS,Australia,2017,5.6370711506194
AUS,Australia,2018,5.58025754369151
AUS,Australia,2019,5.45170917330074
AUT,Austria,2015,17.242928730216
AUT,Austria,2016,17.6682251530651
AUT,Austria,2017,17.4427051605451
AUT,Austria,2018,17.3211161045372
AUT,Austria,2019,17.1022858668807
BEL,Belgium,2015,12.5677314710087
BEL,Belgium,2016,12.2484083375363
BEL,Belgium,2017,12.4458285747277
BEL,Belgium,2018,12.343919956787
BEL,Belgium,2019,12.413251241175
CAN,Canada,2015,9.9754225443394
CAN,Canada,2016,9.92800413520787
CAN,Canada,2017,9.68457578828024
CAN,Canada,2018,9.86607158831886
CAN,Canada,2019,9.29963869581248
CHE,Switzerland,2015,17.1186581567719
CHE,Switzerland,2016,17.3322132145222
CHE,Switzerland,2017,17.4910199452693
CHE,Switzerland,2018,17.6667499302868
CHE,Switzerland,2019,17.9235393262337
CHL,Chile,2015,10.3988647875082
CHL,Chile,2016,9.70592487599938
CHL,Chile,2017,9.16084501940209
CHL,Chile,2018,9.60421381916072
CHL,Chile,2019,8.96909548434668
COL,Colombia,2015,12.4008937581087
COL,Colombia,2016,12.297778837716
COL,Colombia,2017,11.4095935667718
COL,Colombia,2018,11.1518529729467
COL,Colombia,2019,10.926657535177
CRI,Costa Rica,2015,11.6070817090569
CRI,Costa Rica,2016,11.6051648163289
CRI,Costa Rica,2017,11.7340016097056
CRI,Costa Rica,2018,11.9243306402559
CRI,Costa Rica,2019,12.0464449459211
CZE,Czechia,2015,23.7339506123741
CZE,Czechia,2016,23.7610958428917
CZE,Czechia,2017,23.1824532218752
CZE,Czechia,2018,22.3060378872535
CZE,Czechia,2019,22.1266766165116
DEU,Germany,2015,20.1379643216943
DEU,Germany,2016,20.4130244960425
DEU,Germany,2017,20.092676209306
DEU,Germany,2018,19.8054472442
DEU,Germany,2019,19.3094694228334
DNK,Denmark,2015,12.484534308925
DNK,Denmark,2016,12.9401692109791
DNK,Denmark,2017,13.0145483841175
DNK,Denmark,2018,13.0043275494945
DNK,Denmark,2019,13.4024278659202
ESP,Spain,2015,11.0137685905408
ESP,Spain,2016,10.9527706513192
ESP,Spain,2017,11.1145583338461
ESP,Spain,2018,10.7886322916564
ESP,Spain,2019,10.6967320991298
EST,Estonia,2015,13.6547460994623
EST,Estonia,2016,13.6104762733574
EST,Estonia,2017,13.3408912828564
EST,Estonia,2018,13.2138423128235
EST,Estonia,2019,12.8803241268467
FIN,Finland,2015,14.8411928141889
FIN,Finland,2016,14.7475627790114
FIN,Finland,2017,15.3743113223501
FIN,Finland,2018,14.7901080183696
FIN,Finland,2019,14.7120972002113
FRA,France,2015,10.3199116417468
FRA,France,2016,10.1652320223789
FRA,France,2017,10.0100515756887
FRA,France,2018,9.88620521645328
FRA,France,2019,9.91095000638926
GBR,United Kingdom,2015,9.38451755587091
GBR,United Kingdom,2016,9.13168940843145
GBR,United Kingdom,2017,9.04234267998333
GBR,United Kingdom,2018,9.01545847936897
GBR,United Kingdom,2019,8.98151366135499
GRC,Greece,2015,8.2939794133625
GRC,Greece,2016,8.1077472947053
GRC,Greece,2017,8.01771265830777
GRC,Greece,2018,8.18182062799694
GRC,Greece,2019,7.83958999296986
HUN,Hungary,2015,20.2076761720927
HUN,Hungary,2016,19.5575596990539
HUN,Hungary,2017,19.1033927278036
HUN,Hungary,2018,18.4028423209229
HUN,Hungary,2019,17.3261619988245
IRL,Ireland,2015,34.8913217286457
IRL,Ireland,2016,32.6267738894039
IRL,Ireland,2017,32.1593567756814
IRL,Ireland,2018,32.7799541366431
IRL,Ireland,2019,31.9303074064122
ISL,Iceland,2015,10.6860164069703
ISL,Iceland,2016,9.27416946270136
ISL,Iceland,2017,8.85002394189757
ISL,Iceland,2018,8.63020718210054
ISL,Iceland,2019,8.73368688584037
ISR,Israel,2015,12.8932303458212
ISR,Israel,2016,12.038187290739
ISR,Israel,2017,11.4416975702243
ISR,Israel,2018,11.638882020347
ISR,Israel,2019,11.5821900181235
ITA,Italy,2015,14.2623447666015
ITA,Italy,2016,14.6638600182643
ITA,Italy,2017,14.8167748451842
ITA,Italy,2018,14.9480712750382
ITA,Italy,2019,14.8032822287955
JPN,Japan,2015,20.4624703758492
JPN,Japan,2016,20.2880385682684
JPN,Japan,2017,20.4359460686022
JPN,Japan,2018,20.621683951335
JPN,Japan,2019,20.2241827905106
KOR,"Korea, Rep.",2015,27.8215922094514
KOR,"Korea, Rep.",2016,27.5129940831191
KOR,"Korea, Rep.",2017,28.0322405682167
KOR,"Korea, Rep.",2018,27.7672237489814
KOR,"Korea, Rep.",2019,26.370175590513
LTU,Lithuania,2015,17.2400398133433
LTU,Lithuania,2016,16.8071638901065
LTU,Lithuania,2017,16.7118510614104
LTU,Lithuania,2018,16.5154267145228
LTU,Lithuania,2019,16.0026233552419
LUX,Luxembourg,2015,5.47963197133244
LUX,Luxembourg,2016,5.79495633971977
LUX,Luxembourg,2017,4.77590867294046
LUX,Luxembourg,2018,4.95922781387044
LUX,Luxembourg,2019,5.04282381983955
LVA,Latvia,2015,10.8460810091263
LVA,Latvia,2016,10.5392671306849
LVA,Latvia,2017,10.8745823136205
LVA,Latvia,2018,10.9412550358406
LVA,Latvia,2019,11.022531503956
MEX,Mexico,2015,19.8234213937112
MEX,Mexico,2016,19.8687757979342
MEX,Mexico,2017,20.1618224199443
MEX,Mexico,2018,20.1893657004533
MEX,Mexico,2019,19.8877542658522
NLD,Netherlands,2015,10.1488182500805
NLD,Netherlands,2016,10.2669490054501
NLD,Netherlands,2017,10.5500219081827
NLD,Netherlands,2018,10.6594535821754
NLD,Netherlands,2019,10.420756670246
NOR,Norway,2015,6.96157381213814
NOR,Norway,2016,6.66969401819941
NOR,Norway,2017,6.47768064968194
NOR,Norway,2018,6.10398590161945
NOR,Norway,2019,6.27606210506328
NZL,New Zealand,2015,11.2721026415567
NZL,New Zealand,2016,10.0796253961943
NZL,New Zealand,2017,10.1857197844496
NZL,New Zealand,2018,9.94503450031661
NZL,New Zealand,2019,9.67100399917109
POL,Poland,2015,17.6693391336256
POL,Poland,2016,18.2752041844413
POL,Poland,2017,16.8858634359557
POL,Poland,2018,16.4851063076839
POL,Poland,2019,16.6614878848919
PRT,Portugal,2015,12.2513540948869
PRT,Portugal,2016,12.2435166305722
PRT,Portugal,2017,12.4309295704729
PRT,Portugal,2018,12.322133201471
PRT,Portugal,2019,11.9377600515866
SVK,Slovak Republic,2015,18.8287638047366
SVK,Slovak Republic,2016,17.7674522396181
SVK,Slovak Republic,2017,17.1198654148987
SVK,Slovak Republic,2018,18.107047254531
SVK,Slovak Republic,2019,18.7020217269875
SVN,Slovenia,2015,19.9837917138592
SVN,Slovenia,2016,20.2309490466323
SVN,Slovenia,2017,20.6408219046834
SVN,Slovenia,2018,20.4061968964047
SVN,Slovenia,2019,20.5744094031508
SWE,Sweden,2015,13.7574995225643
SWE,Sweden,2016,13.5121304151952
SWE,Sweden,2017,13.3499842845446
SWE,Sweden,2018,13.4279172772114
SWE,Sweden,2019,13.1846571322397
TUR,Turkiye,2015,16.7689719715354
TUR,Turkiye,2016,16.8380121277676
TUR,Turkiye,2017,17.5741769956451
TUR,Turkiye,2018,18.9095014162052
TUR,Turkiye,2019,18.2598551795211
USA,United States,2015,11.6623134302954
USA,United States,2016,11.2236379165299
USA,United States,2017,11.2588564739494
USA,United States,2018,11.348073930706
USA,United States,2019,11.0580367745651
