iso3,country_name,adopter,renew_2015_2021,inflation_2021_2023
AUS,Australia,Late,10.357142857142858,5.018340686947167
AUT,Austria,Early,34.75714285714286,6.375890256193173
BEL,Belgium,Late,10.457142857142856,5.362257005435083
CAN,Canada,Early,22.8,4.692331978858557
CHE,Switzerland,Early,25.15714285714285,1.8507476783660848
CHL,Chile,Early,25.071428571428573,7.916705869242353
COL,Colombia,Early,31.057142857142857,8.46939780782666
CRI,Costa Rica,Early,34.68571428571429,3.508815320704135
CZE,Czechia,Late,15.55714285714286,9.867090066360388
DEU,Germany,Late,16.17142857142857,5.295225909811976
DNK,Denmark,Early,35.75714285714286,4.28493018372182
ESP,Spain,Early,17.157142857142855,5.005357598624934
EST,Estonia,Early,31.6,11.07021840879205
FIN,Finland,Early,45.3,5.189575092653907
FRA,France,Late,15.042857142857144,3.9143520530552034
GBR,United Kingdom,Late,10.228571428571428,5.744795665186927
GRC,Greece,Late,18.32857142857143,4.777962036046303
HUN,Hungary,Late,14.685714285714283,12.28135842031518
IRL,Ireland,Late,11.1,5.489741124334247
ISL,Iceland,Early,81.15714285714286,7.163099272286523
ISR,Israel,Late,4.5285714285714285,3.3721693445995
ITA,Italy,Late,17.1,5.232422530400333
JPN,Japan,Late,7.4142857142857155,1.844161220551972
KOR,"Korea, Rep.",Late,3.1,3.728434411417304
LTU,Lithuania,Early,32.34285714285714,11.168636661592894
LUX,Luxembourg,Late,15.94285714285714,4.20144392942407
LVA,Latvia,Early,41.35714285714285,9.84138620911981
MEX,Mexico,Late,10.62857142857143,6.371148513888973
NLD,Netherlands,Late,8.1,5.505107168943077
NOR,Norway,Early,59.15714285714286,4.921951200745363
NZL,New Zealand,Early,28.9,5.615502732767086
POL,Poland,Late,13.757142857142856,10.337796866959671
PRT,Portugal,Early,28.557142857142853,4.469876784003463
SVK,Slovak Republic,Late,14.914285714285716,8.818566775831627
SVN,Slovenia,Early,21.385714285714283,6.065880367415164
SWE,Sweden,Early,53.54285714285714,6.360371083550814
TUR,Turkiye,Early,12.785714285714286,48.58824581326153
USA,United States,Late,9.985714285714286,5.60566568930117
