iso3,country_name,inflation_2021_2023
AUS,Australia,5.018340686947167
AUT,Austria,6.375890256193173
BEL,Belgium,5.362257005435083
CAN,Canada,4.692331978858557
CHE,Switzerland,1.8507476783660852
CHL,Chile,7.916705869242353
COL,Colombia,8.46939780782666
CRI,Costa Rica,3.508815320704135
CZE,Czechia,9.867090066360387
DEU,Germany,5.295225909811976
DNK,Denmark,4.28493018372182
ESP,Spain,5.005357598624934
EST,Estonia,11.07021840879205
FIN,Finland,5.189575092653907
FRA,France,3.9143520530552034
GBR,United Kingdom,5.744795665186927
GRC,Greece,4.777962036046303
HUN,Hungary,12.28135842031518
IRL,Ireland,5.489741124334247
ISL,Iceland,7.163099272286523
ISR,Israel,3.3721693445995
ITA,Italy,5.232422530400333
JPN,Japan,1.844161220551972
KOR,"Korea, Rep.",3.7284344114173034
LTU,Lithuania,11.168636661592894
LUX,Luxembourg,4.20144392942407
LVA,Latvia,9.84138620911981
MEX,Mexico,6.371148513888973
NLD,Netherlands,5.505107168943077
NOR,Norway,4.921951200745363
NZL,New Zealand,5.615502732767086
POL,Poland,10.337796866959673
PRT,Portugal,4.469876784003463
SVK,Slovak Republic,8.818566775831627
SVN,Slovenia,6.065880367415164
SWE,Sweden,6.360371083550814
TUR,Turkiye,48.58824581326153
USA,United States,5.60566568930117
